id;at;content;opinion;post_id;account_id
32;1979-04-14T18:47:45.470300;Campaign interesting personal mouth.;DEFAULT;67;31
33;1987-08-13T02:18:02.568842;Soldier nature shoulder work east game.;NEUTRAL;45;6
34;1997-10-03T11:57:27.354500;Send weight become.;SUPPORT;17;67
35;2002-04-17T01:43:37.140830;Writer section of though.;OPPOSED;57;2
36;1972-02-07T20:41:32.279574;Focus audience listen apply.;SUPPORT;93;44
37;1999-06-19T16:09:55.251580;Blue fast you politics pay star.;OPPOSED;12;57
38;2007-12-09T12:45:36.058716;Actually similar go.;NEUTRAL;61;56
39;2004-07-29T00:27:33.831337;Hair down eight.;OPPOSED;87;18
40;2016-11-17T14:29:01.922170;Shoulder meet senior represent join already bank take.;NEUTRAL;65;50
41;2021-04-13T23:26:51.058854;View picture factor stand like.;NEUTRAL;34;38
42;2019-10-26T19:52:00.867281;Social hard fight pressure.;NEUTRAL;24;66
43;1991-05-16T02:40:59.970206;Push structure treat wind store ball choose.;DEFAULT;1;7
44;2023-05-08T02:58:54.452997;Compare history I.;NEUTRAL;55;72
45;1996-06-18T14:14:36.166698;See everyone way foot light training girl.;DEFAULT;47;1
46;1998-10-16T03:47:39.035008;Benefit stop game through.;SUPPORT;25;5
47;2011-12-10T12:54:49.966298;Accept feeling win degree factor.;DEFAULT;78;13
48;1980-11-07T07:54:46.278852;Pass place paper thus million whether affect.;SUPPORT;75;21
49;2007-09-20T07:58:45.062788;Sign sometimes TV.;NEUTRAL;96;9
50;1997-10-07T01:48:26.468418;Person commercial live line bill sister only.;DEFAULT;97;16
51;1974-03-03T11:44:01.182736;Manage number herself exactly check half.;OPPOSED;13;98
52;2007-11-15T07:35:04.402545;Team spring analysis Congress scientist.;DEFAULT;41;77
53;1978-05-15T00:54:46.490858;Bit box sea.;OPPOSED;51;10
54;2015-05-01T21:53:33.501145;Military most seven receive window.;OPPOSED;39;86
55;2001-04-18T20:01:00.659721;Fish loss late third air.;OPPOSED;67;13
56;2023-01-08T20:35:43.162312;Several building keep memory group type sort.;SUPPORT;90;29
57;2025-02-24T12:26:28.425632;Skill scientist class.;SUPPORT;54;99
58;1972-06-20T22:35:29.642098;Whose he letter meeting mission rather.;NEUTRAL;3;19
59;2001-07-11T15:34:50.874690;Challenge eight expect own democratic.;OPPOSED;75;18
60;2008-05-19T03:20:04.533106;Wish shake somebody bar.;OPPOSED;96;80
61;1989-08-25T23:59:35.509518;Too design black near religious development.;OPPOSED;46;58
62;2000-04-04T11:38:22.110213;Investment late base defense.;OPPOSED;20;41
63;2010-09-09T10:13:36.051085;Describe culture address good.;OPPOSED;40;28
64;2011-05-28T12:45:38.933576;Line get can magazine have.;DEFAULT;90;71
65;2004-10-21T01:42:40.385788;Upon religious carry share hotel audience brother yes.;DEFAULT;84;88
66;2024-09-27T12:29:14.835265;Site which door.;OPPOSED;25;65
67;1983-04-27T09:52:07.982323;Piece evidence people court.;OPPOSED;21;7
68;1989-08-27T05:49:49.421393;Base fly situation treat charge beautiful consider.;SUPPORT;63;81
69;2014-04-17T00:55:29.839328;Discussion government teach.;NEUTRAL;30;46
70;1993-07-15T11:51:19.366647;Rest identify agent he.;DEFAULT;36;13
71;1990-05-25T03:52:35.870945;Rest standard across detail rest.;DEFAULT;46;33
72;2001-11-05T08:16:46.148176;Mission anyone his wish late.;DEFAULT;64;56
73;1997-09-21T09:05:29.237397;Speak short whom alone check onto computer them.;DEFAULT;51;33
74;1997-10-06T00:10:24.913763;Bed argue order friend usually right score.;SUPPORT;75;57
75;2020-06-11T15:14:35.173857;Control American paper bag entire interest.;SUPPORT;1;13
76;1992-02-21T12:44:13.221992;Worker them together war consider increase first crime.;OPPOSED;87;25
77;2013-06-25T18:38:55.282208;Group answer difficult music answer keep develop compare.;SUPPORT;66;22
78;2005-06-25T18:21:59.096333;Reason fine theory husband general population enter.;DEFAULT;77;80
79;2024-03-21T15:24:39.520423;Seven along difficult similar.;SUPPORT;7;64
80;1975-03-05T13:35:36.661449;Finish cultural get international knowledge large.;NEUTRAL;58;83
81;1994-03-30T01:30:21.092597;Choose might less.;SUPPORT;92;51
82;2021-08-17T05:20:41.136739;Gun quickly condition general model choose its.;SUPPORT;68;41
83;2020-09-17T07:45:51.050314;Realize bring campaign well field network discuss.;SUPPORT;12;79
84;1989-08-23T16:12:32.908020;Nice a friend recently.;SUPPORT;45;47
85;2006-01-18T00:19:33.557640;Want we which rule term PM hour.;SUPPORT;76;25
86;1970-07-29T03:32:19.278763;Though sign discussion apply.;NEUTRAL;55;69
87;1997-08-22T19:49:47.013026;Guy clear language particularly population allow south.;DEFAULT;87;73
88;2013-10-17T07:03:56.866791;Glass news church like three every.;NEUTRAL;88;5
89;2024-10-13T21:50:53.083612;Strategy fact official any.;NEUTRAL;44;26
90;1986-01-19T14:40:15.943247;Student lawyer color idea finally close people.;NEUTRAL;6;76
91;1970-06-08T23:53:39.688798;Another environment away.;NEUTRAL;18;56
92;1978-07-14T09:17:10.055061;Choose state shoulder simple beyond all close.;SUPPORT;57;28
93;2012-10-17T09:42:22.455508;Throw say why heart.;NEUTRAL;4;3
94;2011-08-28T04:41:21.741269;Between suggest time measure mother the.;NEUTRAL;36;7
95;1973-09-17T20:34:10.088415;Get amount argue design increase everyone.;OPPOSED;41;8
96;1974-05-24T21:17:26.086886;Very minute reflect senior former result plant sea.;OPPOSED;79;52
97;1999-05-20T03:55:21.331727;Opportunity around buy price red them.;OPPOSED;4;75
98;1973-08-31T12:18:38.366494;Dog raise economy after agreement ball onto.;OPPOSED;33;23
99;1988-12-01T10:44:44.187543;Finish well late commercial music.;OPPOSED;16;29
100;1985-04-22T13:58:08.191556;Doctor theory attorney others administration experience reduce.;OPPOSED;33;42
101;1986-12-08T06:52:54.569600;Method pay morning various media support enough recent.;OPPOSED;46;86
102;1981-10-05T03:48:36.405821;Individual shake Democrat middle state hand story.;SUPPORT;4;61
103;1992-10-07T04:40:19.794535;Standard manage lead newspaper court know court.;NEUTRAL;29;23
104;1989-02-16T17:58:28.800631;Even dark audience culture whether environment offer sense.;DEFAULT;38;67
105;2010-04-27T05:45:30.791459;Choose enough week.;OPPOSED;55;62
106;1995-10-27T03:28:37.711465;Rate floor position from.;SUPPORT;64;10
107;1996-03-07T20:39:49.779028;Effect Mrs ready more maybe as.;NEUTRAL;55;19
108;2008-08-19T07:04:11.791583;Especially newspaper past movie.;OPPOSED;97;12
109;1982-01-21T20:40:32.231659;For character writer career instead.;NEUTRAL;10;99
110;1975-02-11T12:50:56.947363;Article word likely administration free activity explain.;DEFAULT;22;6
111;2025-08-18T06:42:43.899984;Floor study book forward husband.;DEFAULT;11;55
112;1989-08-27T23:26:22.237765;Poor four interesting identify account.;OPPOSED;59;24
113;2022-07-12T23:41:24.051040;Four age side as to machine.;NEUTRAL;5;67
114;2003-08-19T12:13:17.539341;Instead state team although stage improve word.;OPPOSED;5;10
115;1971-12-24T03:24:05.962197;Million prepare to bank direction inside.;NEUTRAL;77;5
116;1997-05-31T09:34:32.709004;The piece light role.;OPPOSED;97;68
117;2016-05-30T19:36:11.741607;Type only friend recently.;NEUTRAL;89;52
118;2014-11-27T16:07:03.744532;Hot money peace per book agree development.;SUPPORT;6;90
119;2014-02-04T01:38:28.767162;Line type score certain so moment.;NEUTRAL;84;64
120;1997-11-08T08:56:44.026695;Run us firm although property.;OPPOSED;82;2
121;2004-06-13T13:36:02.135195;Suffer little enter leave size.;OPPOSED;60;84
122;1993-10-21T01:47:41.725221;Upon while conference protect any range kid sell.;DEFAULT;23;42
123;1970-03-30T07:27:13.874593;Hear close increase return community certainly.;SUPPORT;68;86
124;2021-08-10T19:07:17.001347;Method doctor listen money after rate.;SUPPORT;72;65
125;2017-04-27T12:18:03.982960;Arrive western check hold church lose age.;OPPOSED;94;75
126;1972-12-17T17:37:44.282310;Mother question administration us.;NEUTRAL;31;37
127;2004-03-03T10:27:26.029745;Despite main space there responsibility.;SUPPORT;15;9
128;2009-06-27T00:05:57.772181;Describe east agreement.;DEFAULT;12;31
129;2001-06-14T18:29:12.773633;Health stand throughout heart sort realize when Congress.;SUPPORT;33;46
130;1991-09-11T09:08:37.753376;Network color certainly continue.;OPPOSED;47;67
131;2002-11-15T17:14:09.576974;Against each health sister.;DEFAULT;66;42
132;2022-04-18T16:06:53.676083;American second network her president tell.;SUPPORT;21;20
133;2010-06-24T11:45:41.593065;Child result wind feel.;OPPOSED;92;4
134;2009-01-22T17:55:37.956196;Positive whom cup beyond.;SUPPORT;82;93
135;1981-12-20T04:07:27.231029;Decade then experience wrong mission either.;DEFAULT;69;79
136;2003-11-17T08:10:25.595638;Tell simple now rest soldier answer north.;NEUTRAL;73;19
137;2018-01-03T17:46:08.549873;Cost raise example right.;DEFAULT;79;73
138;1970-08-22T23:28:03.454908;Since none generation by region contain recognize force.;DEFAULT;80;78
139;1970-01-15T16:15:12.511826;Collection Democrat brother list.;SUPPORT;54;67
140;1972-03-31T17:56:38.223947;System crime shake nature able.;OPPOSED;43;22
141;2025-01-30T21:25:28.185141;Spend nearly high say.;NEUTRAL;5;11
142;1970-07-30T16:21:11.169910;Together present commercial live president condition.;SUPPORT;55;46
143;1974-07-08T00:31:10.747544;Consumer ask pick.;OPPOSED;66;57
144;1972-01-25T00:52:58.500467;Young old start through easy day science.;OPPOSED;89;47
145;1973-03-16T02:27:49.361690;Weight care college.;OPPOSED;64;50
146;2002-06-12T17:48:37.643349;Step situation body least decision family similar.;SUPPORT;98;72
147;2023-04-04T13:31:08.563513;Lead claim such major wind water.;SUPPORT;2;28
148;2021-04-15T10:42:12.425568;Measure threat energy day individual dog.;SUPPORT;36;46
149;2000-10-02T21:00:33.311917;Involve first grow enter.;OPPOSED;41;49
150;1976-09-27T02:06:38.993846;Anyone protect character job difficult game bit certain.;DEFAULT;84;73
151;2008-12-10T17:20:23.593887;Radio memory book strategy including significant top.;SUPPORT;35;45
152;1977-04-05T00:36:19.859584;Left soon science.;DEFAULT;61;94
153;1984-01-12T02:02:03.303790;Hair sure upon.;NEUTRAL;59;17
154;2008-02-21T22:17:26.636203;Find kitchen exactly soon office.;SUPPORT;9;21
155;1977-05-19T13:00:00.357692;Describe stuff successful author writer.;SUPPORT;71;13
156;1974-09-04T17:29:03.560196;High voice audience movement.;OPPOSED;55;77
157;1998-12-24T00:14:39.619792;Business station exist summer indicate take shake.;SUPPORT;81;27
158;1972-10-23T12:10:19.124088;Follow thus deep yeah rise perform them process.;OPPOSED;28;52
159;2007-01-20T06:20:05.215640;Personal statement somebody property yet cut.;DEFAULT;17;15
160;1981-02-21T18:43:49.493689;Real sure list itself.;OPPOSED;33;71
161;1997-12-28T22:09:36.071513;Action away real beat tend owner.;SUPPORT;44;72
162;1982-08-14T15:01:21.621877;Want kid job arrive learn pay with.;SUPPORT;67;29
163;1977-10-16T14:48:51.362209;Citizen ago source.;NEUTRAL;38;30
164;2024-08-23T19:13:31.234300;Girl page man environment indeed.;NEUTRAL;51;36
165;1984-10-22T15:50:48.733697;High order coach laugh whom.;NEUTRAL;97;79
166;2010-10-28T19:15:12.557972;Sound strong likely nation need at.;OPPOSED;56;63
167;1991-01-18T20:47:50.124758;Bank hundred church instead wife already.;DEFAULT;59;31
168;1992-11-18T05:06:23.204864;Way next stay heavy.;NEUTRAL;16;41
169;1998-03-07T16:08:52.166623;Southern help production listen store standard.;NEUTRAL;56;80
170;2011-06-04T13:26:24.463648;Everything same evening really subject maintain career.;OPPOSED;78;18
171;1994-03-24T19:58:25.570016;Happy some college even among pick.;DEFAULT;10;12
172;1988-04-20T06:00:16.798783;Itself maybe you eight about.;OPPOSED;69;57
173;1998-05-21T05:52:33.524586;Central between act paper maybe action.;SUPPORT;25;36
174;1985-04-20T19:37:31.576235;None they serve town arm expect.;SUPPORT;73;54
175;1986-01-17T14:32:09.384972;Mother however keep.;NEUTRAL;54;81
176;2023-08-22T19:23:22.322838;Control huge main policy end hair.;NEUTRAL;93;32
177;1991-08-29T23:17:06.044081;Song red town sure your hit behavior.;OPPOSED;77;3
178;1982-07-12T02:50:00.258070;My task cold response better simple early.;OPPOSED;63;50
179;2004-11-24T23:39:28.561224;Many election song turn brother man.;DEFAULT;82;73
180;2010-09-25T22:05:53.493078;Sister over particular hotel anything benefit theory.;NEUTRAL;65;75
181;1981-04-16T03:02:15.218602;Read response one officer worry those watch.;OPPOSED;56;79
182;2011-05-09T16:53:36.591994;Seem else argue able end government evidence.;NEUTRAL;46;45
183;2010-05-08T07:16:29.211990;Arrive side despite tough job treatment.;OPPOSED;59;47
184;1983-06-06T12:35:02.006507;Past let stand push.;OPPOSED;6;86
185;1998-08-16T14:21:12.709694;Of kitchen number kind.;NEUTRAL;2;45
186;2002-05-06T22:48:32.204703;Simply media indicate pretty.;NEUTRAL;23;84
187;1971-07-09T04:49:01.597909;Level radio town model she pretty.;SUPPORT;62;46
188;2018-08-27T11:34:31.355836;Side similar western run build crime.;NEUTRAL;40;93
189;1980-09-23T23:02:05.477841;Concern someone successful.;DEFAULT;6;82
190;1982-04-15T00:57:59.813712;Also event contain market.;OPPOSED;96;94
191;1998-11-13T06:43:25.689617;Carry pressure stay until direction third keep.;OPPOSED;98;96
192;2010-05-16T20:02:03.224298;Black necessary beautiful father street community.;DEFAULT;55;31
193;2002-05-04T03:26:07.684898;Must support skin population success present bed.;SUPPORT;90;56
194;2002-09-11T08:12:58.137442;May choice goal by difference.;NEUTRAL;96;50
195;2004-07-09T15:03:56.265903;Hair know floor no gun bar hospital.;NEUTRAL;52;55
196;2021-08-09T04:12:46.385185;Join reduce grow media.;NEUTRAL;1;16
197;1996-12-30T22:26:35.785145;Election house subject others expert.;OPPOSED;15;48
198;1996-12-13T01:51:42.896359;Why writer us sometimes.;SUPPORT;32;61
199;1985-07-23T02:01:36.788785;Fish despite stop each day tonight.;DEFAULT;88;27
200;2004-12-18T18:25:26.289016;Policy control however reduce forget.;DEFAULT;100;45
201;2019-08-08T09:16:55.248853;Result base road spend personal.;NEUTRAL;12;5
202;1980-12-07T12:41:40.415160;Think sign source bag buy daughter.;OPPOSED;89;41
203;1993-02-15T06:34:16.588403;Once affect so west.;SUPPORT;17;47
204;2002-01-09T00:17:16.771361;Green specific behind member artist teach.;SUPPORT;91;23
205;1993-08-14T00:11:25.326028;Set thank offer describe process.;SUPPORT;34;83
206;2018-04-11T16:51:24.684773;Bed even four remain.;NEUTRAL;48;13
207;2020-04-18T13:45:00.552743;Floor trip ahead visit.;DEFAULT;89;18
208;2008-01-16T19:39:16.929704;Forget after he culture.;OPPOSED;82;64
209;2022-01-29T16:51:07.685768;Move memory reduce get wind bar real.;NEUTRAL;69;52
210;1999-07-25T05:23:52.129704;Receive brother enjoy international space third.;SUPPORT;98;60
211;2011-02-19T05:18:41.044686;Red prove before set scene.;DEFAULT;25;46
212;1988-02-11T11:14:10.289056;Century main million fly hear.;DEFAULT;67;22
213;2022-11-27T18:26:33.870963;Capital run design firm clearly sometimes of.;DEFAULT;57;66
214;1987-06-16T06:25:03.252525;Why writer enter find.;NEUTRAL;49;77
215;1977-03-03T10:03:18.496273;Show sense imagine money.;DEFAULT;50;52
216;1973-07-11T22:51:43.568089;Let hand out affect.;OPPOSED;77;50
217;2024-04-16T20:39:57.107477;Feel position explain drug himself allow coach job.;DEFAULT;98;44
218;1983-10-17T20:46:57.271084;Camera technology quite alone very speak identify laugh.;SUPPORT;12;36
219;1981-07-11T21:25:58.380310;Lot also left participant.;NEUTRAL;87;21
220;2012-03-23T08:36:19.155564;Sport church ask and.;OPPOSED;34;19
221;1991-01-13T16:35:04.693037;Practice analysis quickly actually box guy.;SUPPORT;52;79
222;1974-02-27T02:35:10.687309;Which sell security.;NEUTRAL;20;92
223;1977-11-04T08:29:20.205028;With soldier senior can authority information board.;SUPPORT;20;85
224;2009-08-23T20:25:59.471620;East dark investment stuff necessary two.;SUPPORT;9;93
225;1998-04-13T03:27:35.734520;Inside answer animal drug role.;NEUTRAL;36;18
226;1998-04-15T02:20:49.665022;Pretty billion sport often.;OPPOSED;33;41
227;1983-02-01T19:39:24.896074;Woman campaign dinner together message ground daughter.;SUPPORT;76;28
228;2003-10-17T13:02:28.621337;Commercial young professor seek.;OPPOSED;79;31
229;1971-06-05T15:54:35.777245;Drug put speech unit.;NEUTRAL;78;6
230;2015-02-02T00:43:22.191297;Blue song enter action production break book.;DEFAULT;31;47
231;2003-07-28T13:06:32.211674;Woman structure half within such weight.;SUPPORT;29;92
232;2002-10-21T00:52:40.071499;By college it nation throughout dark near.;NEUTRAL;45;10
233;1975-10-15T13:16:58.156938;Whole knowledge none reduce character.;SUPPORT;83;47
234;1994-01-24T17:17:24.379195;Attention enter charge across candidate picture ahead produce.;SUPPORT;88;15
235;2003-12-06T04:00:17.008250;Attorney agent area compare first capital.;NEUTRAL;16;72
236;1976-09-10T04:23:51.244541;Cut high feel tend organization million.;NEUTRAL;80;71
237;2025-10-08T13:57:14.558949;East around force.;SUPPORT;71;93
238;1973-04-12T18:21:49.037700;Physical perhaps story together history race.;OPPOSED;46;29
239;1994-03-18T05:13:05.058048;Receive raise Democrat attention bit baby.;DEFAULT;16;45
240;1980-11-07T21:25:06.084128;Hot face this seat model feel.;NEUTRAL;42;83
241;2001-11-01T22:30:42.517056;Guy four ready college team task.;OPPOSED;59;34
242;1980-07-01T10:06:21.847272;Baby how develop also or attention easy peace.;NEUTRAL;92;99
243;1993-07-15T03:07:52.464603;Serious it reach leg hear which anything tough.;NEUTRAL;95;96
244;1987-03-24T00:15:57.018737;Age phone evidence just.;DEFAULT;17;63
245;2010-08-16T04:40:34.083419;Happen task indeed smile.;DEFAULT;63;67
246;1991-11-07T20:04:58.414845;Present find point face I later deep.;NEUTRAL;45;50
247;2014-03-15T00:58:00.556458;Traditional six decade scene.;OPPOSED;46;86
248;1990-02-11T04:17:09.573616;Situation life camera member media.;NEUTRAL;70;94
249;2025-08-23T10:08:38.531042;Store enough everybody deal develop just forward home.;NEUTRAL;4;14
250;1997-01-16T23:34:41.159869;Avoid small then wonder million throw.;NEUTRAL;97;55
251;2009-12-04T15:44:43.601192;Husband huge ahead picture strong.;NEUTRAL;19;82
252;1998-11-01T11:37:55.583587;Enough figure term because close young return.;DEFAULT;76;21
253;2010-04-20T16:43:20.891826;House onto happen six whom attorney economic quality.;NEUTRAL;86;51
254;1976-03-03T04:25:08.548942;Season force smile.;OPPOSED;31;31
255;1995-09-18T05:03:49.465368;Let dream pressure detail.;OPPOSED;75;23
256;2015-01-20T21:50:18.724351;Only politics leg someone some station write.;SUPPORT;3;77
257;1991-10-07T17:54:17.770711;Show participant actually again course protect.;OPPOSED;85;93
258;2003-10-29T18:57:11.208105;Try push bit finish economy personal.;DEFAULT;22;20
259;1984-06-30T08:37:35.023471;You although send ago.;SUPPORT;44;66
260;1988-07-20T16:45:51.412509;Leader risk cut yes hit detail.;DEFAULT;6;16
261;1986-10-05T00:19:01.612641;Land practice great miss line inside.;SUPPORT;24;81
262;1995-02-03T14:56:15.431773;Long message none nor law deep low.;DEFAULT;9;43
263;1970-06-03T11:53:46.252324;Policy call debate yourself heart long analysis.;SUPPORT;89;67
264;2012-12-09T00:59:44.423613;Save result thus especially these once begin we.;OPPOSED;89;32
265;1977-07-28T09:45:04.892396;Professional development dog account glass draw.;OPPOSED;76;26
266;2003-07-24T23:03:15.874414;Remain yet tree guess west.;DEFAULT;33;29
267;2003-02-04T13:53:27.545969;Name reach attack scientist.;SUPPORT;26;94
268;1993-06-29T23:45:20.013432;Federal spring population.;OPPOSED;74;74
269;2017-06-07T01:52:16.207056;Contain meet once company generation exist.;OPPOSED;96;86
270;1974-04-16T22:19:16.892080;Stay expert these interesting tend left team.;SUPPORT;51;85
271;1991-11-23T01:05:34.057868;Clearly ready surface individual.;OPPOSED;1;48
272;1995-03-25T09:36:34.588275;Her few course nor.;DEFAULT;97;3
273;1998-12-05T16:21:52.845184;As only prepare draw Mr.;SUPPORT;76;46
274;1991-11-14T00:02:53.074267;Wind recognize road chance answer.;DEFAULT;49;63
275;1998-09-29T07:28:10.145810;Weight head field.;OPPOSED;60;14
276;1979-08-08T02:32:56.572486;Child item although else range seek.;DEFAULT;54;38
277;2006-07-20T17:11:44.240027;Decide American lawyer.;OPPOSED;53;25
278;2024-11-12T19:36:52.282093;Remain her girl day skin world.;NEUTRAL;100;96
279;2002-08-18T15:36:22.387169;Really including skin kitchen every evening receive require.;NEUTRAL;50;54
280;2025-09-13T23:56:21.481808;Material floor art perhaps fish.;DEFAULT;88;81
281;1974-05-23T03:42:32.669143;Report fill chair wall second choice chair.;DEFAULT;14;48
282;1978-11-04T17:37:31.647114;Phone quickly according from type.;DEFAULT;76;86
283;1984-05-19T08:03:16.488353;Consider take worry close.;SUPPORT;15;44
284;1981-11-17T20:09:35.007624;Wish long us all office candidate.;SUPPORT;69;11
285;2000-04-09T23:20:35.087075;Sea both career long positive anyone throughout.;NEUTRAL;80;74
286;1976-03-25T22:53:13.093169;Body discuss apply mind to indicate face.;SUPPORT;34;98
287;2001-03-23T14:39:05.018836;Catch off education budget.;SUPPORT;81;62
288;2023-01-28T09:32:39.236109;Event stage brother news.;DEFAULT;44;89
289;1975-10-15T09:17:09.389345;Religious red another population.;DEFAULT;36;77
290;1988-05-19T06:13:19.580679;Agreement idea research media factor human these town.;NEUTRAL;46;21
291;2017-12-28T19:39:31.882279;Chance try system the resource.;NEUTRAL;98;66
292;1987-12-24T09:46:12.693235;Sea buy his.;DEFAULT;11;7
293;1982-12-18T22:35:11.745015;Bad parent process daughter kid traditional.;DEFAULT;73;8
294;2009-11-08T14:43:50.053052;Scene become affect.;DEFAULT;38;28
295;1982-07-16T14:45:23.575714;Just about everybody change thought grow right.;NEUTRAL;37;30
296;2021-07-04T21:58:34.974236;Minute threat language attorney.;NEUTRAL;100;93
297;2001-09-02T19:32:10.033201;Matter figure conference daughter brother attention hair.;SUPPORT;82;99
298;1991-03-03T15:51:14.771485;Concern lay central.;OPPOSED;23;65
299;1983-12-12T04:11:03.660141;Couple within magazine.;SUPPORT;85;70
300;1987-01-06T05:48:22.427715;Generation behavior she bed magazine between.;NEUTRAL;85;56
301;2009-05-03T09:25:53.851282;Admit then out contain man officer.;OPPOSED;52;37
302;2011-03-19T14:49:02.643180;Concern if my.;DEFAULT;17;100
303;1977-07-03T22:44:13.704612;Nature exist face world model once.;NEUTRAL;87;19
304;1990-01-01T02:00:48.861140;Hand could member management.;DEFAULT;64;60
305;1977-07-22T18:27:29.318083;Score no material bed win wait consumer.;NEUTRAL;50;37
306;1989-02-11T08:23:56.593480;Grow or care during me action.;DEFAULT;12;55
307;1983-09-12T21:09:18.594881;Consumer cover suffer today.;DEFAULT;17;42
308;2007-04-16T08:02:29.851584;Open before increase what.;SUPPORT;18;1
309;1991-04-24T11:48:38.491214;Site for despite ever most imagine hear.;DEFAULT;94;69
310;1987-09-30T04:57:56.440115;Prevent watch all issue will.;NEUTRAL;49;69
311;1984-03-13T22:54:34.275413;Various than political right important energy any son.;DEFAULT;66;39
312;1978-07-18T23:48:50.800183;Again seat involve move recently guess begin.;DEFAULT;18;75
313;1989-09-11T02:08:04.037764;Tell hour left.;DEFAULT;59;79
314;1971-08-21T09:15:02.451830;Wide inside add prepare stay.;SUPPORT;67;95
315;1975-01-15T15:58:50.886951;May spring trade culture management house land production.;DEFAULT;67;93
316;1975-07-22T01:59:30.344274;May kid prevent family.;SUPPORT;81;27
317;2019-05-13T16:37:43.384135;True check easy cost live nor.;DEFAULT;44;23
318;1993-10-02T12:03:41.363753;Mention Democrat nothing.;DEFAULT;95;54
319;2009-05-01T19:17:58.740747;Everybody bed sense treatment writer summer.;NEUTRAL;20;21
320;1983-03-21T08:01:17.883361;Station pull effect decide attorney that speech.;NEUTRAL;35;62
321;2019-02-10T18:35:48.679704;Thing just drive stock main nearly hold.;DEFAULT;65;76
322;1993-10-11T15:36:58.347087;Memory sense general others.;SUPPORT;4;11
323;2008-02-11T23:15:57.785191;Total act firm off do system.;OPPOSED;16;61
324;1995-04-23T01:39:38.805295;Year body else effort success agent.;DEFAULT;34;48
325;1973-12-10T18:24:01.763279;Sure interest operation certainly significant us training.;SUPPORT;23;86
326;1984-04-11T17:03:51.498249;Plan up mean author.;SUPPORT;65;44
327;1986-05-12T09:11:16.344400;Out team sign discuss.;SUPPORT;61;83
328;1976-08-25T02:14:53.167384;Gas hotel material top expert assume.;OPPOSED;19;60
329;2014-03-09T00:18:46.674538;Candidate theory need these plant must.;OPPOSED;13;28
330;2020-03-25T04:14:46.940111;Local most choice theory on.;OPPOSED;50;67
331;2009-12-11T11:06:48.422237;Than official sister within today table.;SUPPORT;94;73
332;1978-09-05T21:25:32.549621;Program within fly.;NEUTRAL;64;1
333;1978-02-13T05:14:00.403407;Cup attention hold another center single dream.;SUPPORT;85;92
334;1976-09-29T09:43:41.933014;Need recognize thus citizen source child science mouth.;DEFAULT;75;76
335;1981-12-13T22:49:58.640026;Thank top teacher piece.;OPPOSED;37;35
336;1996-07-10T01:51:33.080333;Play election quickly TV else exactly challenge.;SUPPORT;89;46
337;1998-08-04T17:05:13.678135;Position ago company these.;OPPOSED;39;75
338;1988-12-16T20:05:04.220519;East accept throw artist fight.;SUPPORT;44;17
339;1996-06-08T17:01:29.228136;Speech month spend concern.;DEFAULT;90;4
